0; 1	1; 2	2; 3	3; 4	4; 5	5; 6	6; 7
4	12	27	23	21	10	3
0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5	1,5; 1,75
2	10	30	29	16	10	3
-5; -4	-4; -3	-3; -2	-2; -1	-1; 0	0; 1	1; 2
4	11	31	26	16	7	5
-2,5; -2	-2; -1,5	-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1
3	11	29	26	22	7	2
-0,1; 0	0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5	0,5; 0,6
5	18	22	21	15	13	6
0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5	2,5; 3	3; 3,5
8	12	20	19	21	13	7
0; 1	1; 2	2; 3	3; 4	4; 5	5; 6	6; 7
14	14	20	20	17	12	3
-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2
5	11	16	20	21	13	14
0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5	0,5; 0,6	0,6; 0,7
7	19	21	23	15	11	4
-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2
5	11	16	26	21	14	7
-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4	4; 5
7	14	21	25	18	12	3
0; 1	1; 2	2; 3	3; 4	4; 5	5; 6	6; 7
2	10	25	23	21	12	7
-5; -4	-4; -3	-3; -2	-2; -1	-1; 0	0; 1	1; 2
6	9	27	25	16	10	7
-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2
7	11	22	20	21	10	9
-0,1; 0	0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5	0,5; 0,6
2	16	22	30	15	14	1
-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2
3	13	14	28	20	17	5
-3; -2	-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4
4	12	30	29	13	10	2
-0,3; -0,2	-0,2; -0,1	-0,1; 0	0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4
2	14	25	27	17	11	4
0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5	1,5; 1,75
2	17	22	28	20	10	1
-3; -2,5	-2,5; -2	-2; -1,5	-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5
5	11	17	25	19	18	5
-0,25; 0	0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5
4	15	27	23	19	11	1
-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5
4	12	18	24	23	14	5
-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5	2,5; 3
2	10	29	30	21	7	1
-0,2; -0,1	-0,1; 0	0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5
6	12	22	27	18	11	4
-5; -4	-4; -3	-3; -2	-2; -1	-1; 0	0; 1	1; 2
4	11	31	26	16	7	5
0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5	1,5; 1,75
2	10	30	29	16	10	3
-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4	4; 5
7	14	21	25	18	12	3
0; 1	1; 2	2; 3	3; 4	4; 5	5; 6	6; 7
4	12	27	23	21	10	3
0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5	2,5; 3	3; 3,5
8	12	20	19	21	13	7
-2,5; -2	-2; -1,5	-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1
3	11	29	26	22	7	2
-3; -2,5	-2,5; -2	-2; -1,5	-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5
5	11	17	25	19	18	5
-0,25; 0	0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5
4	15	27	23	19	11	1
-0,3; -0,2	-0,2; -0,1	-0,1; 0	0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4
2	14	25	27	17	11	4
-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2
7	11	22	20	21	10	9
0; 1	1; 2	2; 3	3; 4	4; 5	5; 6	6; 7
14	14	20	20	17	12	3
0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5	2,5; 3	3; 3,5
1	12	25	30	21	9	2
0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5	1,5; 1,75
5	13	22	28	19	10	3
-0,1; 0	0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5	0,5; 0,6
5	18	22	21	15	13	6
0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5	1,5; 1,75
2	17	22	28	20	10	1
0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5	2,5; 3	3; 3,5
1	12	25	30	21	9	2
-5; -4	-4; -3	-3; -2	-2; -1	-1; 0	0; 1	1; 2
6	9	27	25	16	10	7
0; 1	1; 2	2; 3	3; 4	4; 5	5; 6	6; 7
2	10	25	23	21	12	7
-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2
3	13	14	28	20	17	5
0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5	0,5; 0,6	0,6; 0,7
3	16	22	27	15	11	6
-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2
5	11	16	20	21	13	14
0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5	1,5; 1,75
5	13	22	28	19	10	3
-0,1; 0	0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5	0,5; 0,6
2	16	22	30	15	14	1
-3; -2	-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4
1	15	33	26	16	7	2
0; 1	1; 2	2; 3	3; 4	4; 5	5; 6	6; 7
8	12	22	22	20	10	6
-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4	4; 5
3	15	23	27	20	11	1
0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5	0,5; 0,6	0,6; 0,7
7	19	21	23	15	11	4
-1,5; -1	-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2
5	11	16	26	21	14	7
-3; -2	-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4
4	12	30	29	13	10	2
-1; -0,5	-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5
4	12	18	24	23	14	5
-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4	4; 5
3	15	23	27	20	11	1
0; 0,25	0,25; 0,5	0,5; 0,75	0,75; 1	1; 1,25	1,25; 1,5	1,5; 1,75
5	13	22	28	19	10	3
-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4	4; 5
3	15	23	27	20	11	1
0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5	2,5; 3	3; 3,5
1	12	25	30	21	9	2
0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5	0,5; 0,6	0,6; 0,7
3	16	22	27	15	11	6
0; 1	1; 2	2; 3	3; 4	4; 5	5; 6	6; 7
8	12	22	22	20	10	6
-3; -2	-2; -1	-1; 0	0; 1	1; 2	2; 3	3; 4
1	15	33	26	16	7	2
-0,5; 0	0; 0,5	0,5; 1	1; 1,5	1,5; 2	2; 2,5	2,5; 3
2	10	29	30	21	7	1
-0,2; -0,1	-0,1; 0	0; 0,1	0,1; 0,2	0,2; 0,3	0,3; 0,4	0,4; 0,5
6	12	22	27	18	11	4
