-2	0	1	2	3
23	2	0	4	15
-3	-1	0	1	2
10	-3	-3	1	11
-2	0	1	2	3
-8	-5	1	8	18
-2	0	2	3	4
14	1	-3	-2	1
-3	-2	0	1	2
-11	-5	3	3	3
-4	-2	0	1	2
3	-5	-6	-2	4
-2	0	1	2	3
-2	-4	1	10	21
-1	0	1	2	3
9	5	4	7	15
-2	-1	0	0,5	1
18	6	1	2	4
-3	-2	-1	0	1
0	-4	-6	-3	3
-1	0	1	2	3
8	1	-4	-7	-10
-2	0	1	2	4
18	3	1	3	21
-3	-2	0	1	2
-27	-14	-1	0	-3
-3	-1	0	2	3
10	-1	-3	-4	-1
-2	-1	0	1	2
22	4	-5	-9	-5
-2	-1	0	1	2
13	1	-2	3	14
-2	0	1	2	3
-7	-4	2	13	26
-4	-1	0	2	3
-11	-7	-2	14	27
-2	-1	0	1	3
-8	-10	-7	-2	24
-2	-1	0	2	3
15	3	-3	-3	3
-1	0	1	2	3
11	8	7	12	21
0	1	2	3	4
-9	-6	4	20	40
-2	-1	0	1	3
-12	-3	3	7	10
-1	0	1	3	4
12	6	6	26	42
-3	-2	-1	0	3
-5	-7	-5	-2	20
-2	-1	1	2	3
8	3	2	8	16
-2	-1	0	1	2
1	-5	-6	-5	0
-3	-2	0	1	2
-5	-1	3	1	-1
-1	0	1	2	4
0	1	4	12	37
-2	-1	0	2	3
8	6	4	9	12
-2	-1	0	0,5	1
-2	13	14	7	1
-3	-2	-1	0	1
-3	2	4	3	-3
-1	0	1	2	3
15	12	6	1	-2
-2	0	1	2	4
-3	6	7	3	-4
-3	-2	0	1	2
-2	6	20	14	-7
-3	-1	0	2	3
2	8	9	3	1
-2	-1	0	1	2
-10	-7	-4	1	8
-2	-1	0	1	2
-11	-5	3	3	3
-2	0	1	2	3
-5	-1	-1	1	3
-4	-1	0	2	3
6	12	13	8	6
-2	-1	0	1	3
1	5	6	4	2
-2	-1	0	2	3
-10	-8	-7	-2	24
-1	0	1	2	3
4	-9	-6	20	40
0	1	2	3	4
4	8	12	11	9
-2	-1	0	1	3
-6	0	3	2	-3
-1	0	1	3	4
-10	-3	0	-5	-8
-3	-2	-1	0	3
-10	-6	-5	-4	0
-2	-1	1	2	3
-4	-2	1	6	10
-2	-1	0	1	2
-28	-23	-20	-17	-12
-3	-2	0	1	2
-12	6	4	1	2
-1	0	1	2	4
-70	-28	-6	4	7
-2	-1	0	2	3
-7	6	8	10	5
-2	0	1	2	3
31	3	24	-34	-96
-3	-1	0	1	2
-18	3	-2	-3	2
-2	0	1	2	3
-6	1	0	-5	-5
-2	0	2	3	4
1	18	21	3	3
-3	-2	0	1	2
2	1	1	-9	-34
-4	-2	0	1	2
-6	3	4	5	-2
-2	0	1	2	3
4	9	12	7	5
-1	0	1	2	3
9	1	-1	-6	1
-3	-2	0	1	2
1	-4	-7	3	8
-1	0	1	2	4
-11	0	4	14	41
-2	-1	0	2	3
-14	-1	0	-3	-27
