2,1 2,8	3,5	4	5	5,5
5	4	3,1	3	2	1
2,5	6,5	10	11,8	17	19,5
5	6	7	4	2	1
1,5	1,1	0,5	1	0	-1
26,7	32	37	22,2	13	8
4	2	0	1	3	-1
2,5	3	4	1	1,2	2
6,2	5	4,8	0,2	2	0
0,5	1	2	4	3,5	-1
0	1	1,5	2	2,5	1
0,2	5	8,8	15,2	17	1
1	2	3	4	4,5	-2
-1	0	1,5	2	3	-2
9,2	10,7	12	15,2	14,6	-1
2	1,5	0	1	3	4
-1	0,5	0,1	0	1	3
6,2	1	0,6	2,1	1	-3,5
1	0,5	3	2	1	-2
1	2	2	3	0,3	0,5
2	4,3	7,2	8	0	-3
2	1	0,5	2	3	-0,5
-1	0	1	2	1,8	0,5
9,7	5,1	1,5	4,2	6,8	-0,5
1	0,5	0	2	1,5	3
1	0,5	1	3	2	4
4,2	3,4	0	2,1	3,2	2,5
2	3	4	6	7	-1
-2	0	1	2	3	-1
16	6	1	-2	-8	7
-3	2	0	1	2	-2
0	1	2	3	4	5
-17	-1	-4,5	2	8,3	-1
-2	-1	0	1	2	-0,5
1	2	3	5	6	7
-20	-11	-3	8	14	-3
-3	-1	0	2	5	6
-2	3	5	7	9	8
-15	-9	-7	-2	2	4
-2	-1	0	1	2	-3
1	3	4	6	7	-10
-11	-2	7	16	26	-9
-2	-1	0	1	2	1,5
3	2	5	6	7	1
-2	2,5	0	2	2	11
-2	-1	0	1	2	0,5
4	0	5	2	0	1
-6,8	1	1	5	12	5,7
-3	-2	1,5	2	3	4
4	1	2	-1	3	-2
-17	-7	11,6	18,5	20	30
-2	-1,5	-1	1	2	3
2	1	0	3	1,5	4
4	-2,5	-9	14	4,5	23
-2	-1	0	1	2	4
2,5	3	-4	-2	1	-1
-22	-23	30	17	-5	13
2	1,5	1	3	-1	4
-1	2	0,5	-3	4	-2
17	9	8	25	-12	32
2	0,5	1	-1	4	3
-3	-2	-1	2	1	-0,5
-17	-5,5	-8	13	-22	-21
1	2	-3	4	3	1,5
-3	-2	2	-1	1	0
0	3	-6	9	11	4
2	3	0,5	-1	-2	1
4	-1	1	2	3	-4
0	13	1	-9	-12	11
-2	1,5	3	-1	2	4
3	-1	-2	-1	-3	-0,5
17	-6	-13	-8	-21	0
-4	-1	0	2	1	-2
-3	-2	2	3	4	-1
-16	-3	-3	5	-2	-9
4	2	0	1	3	-1
2,5	3	4	1	1,2	2
6,2	5	4,8	0,2	2	0
0,5	1	2	4	3,5	-1
0	1	1,5	2	2,5	1
0,2	5	8,8	15,2	17	1
1	2	3	4	4,5	-2
-1	0	1,5	2	3	-2
9,2	10,7	12	15,2	14,6	-1
2	1,5	0	1	3	4
-1	0,5	0,1	0	1	3
6,2	1	0,6	2,1	1	-3,5
1	0,5	3	2	1	-2
1	2	2	3	0,3	0,5
2	4,3	7,2	8	0	-3
2	1	0,5	2	3	-0,5
-1	0	1	2	1,8	0,5
9,7	5,1	1,5	4,2	6,8	-0,5
1	0,5	0	2	1,5	3
1	0,5	1	3	2	4
4,2	3,4	0	2,1	3,2	2,5
2	3	4	6	7	-1
-2	0	1	2	3	-1
16	6	1	-2	-8	7
0,5	1	2	4	3,5	-1
0	1	1,5	2	2,5	1
0,2	5	8,8	15,2	17	1
-2	-1	0	1	2	-0,5
1	2	3	5	6	7
-20	-11	-3	8	14	-3
-2	-1	0	1	2	-3
1	3	4	6	7	-10
-11	-2	7	16	26	-9
-2	-1	0	1	2	1,5
3	2	5	6	7	1
-2	2,5	0	2	2	11
-2	-1	0	1	2	0,5
4	0	5	2	0	1
-6,8	1	1	5	12	5,7
-3	-2	1,5	2	3	4
4	1	2	-1	3	-2
-17	-7	11,6	18,5	20	30
-2	-1	0	1	2	4
2,5	3	-4	-2	1	-1
-22	-23	30	17	-5	13
2	1,5	1	3	-1	4
-1	2	0,5	-3	4	-2
17	9	8	25	-12	32
2	0,5	1	-1	4	3
-3	-2	-1	2	1	-0,5
-17	-5,5	-8	13	-22	-21
1	2	-3	4	3	1,5
-3	-2	2	-1	1	0
0	3	-6	9	11	4
2	3	0,5	-1	-2	1
4	-1	1	2	3	-4
0	13	1	-9	-12	11
-2	1,5	3	-1	2	4
3	-1	-2	-1	-3	-0,5
17	-6	-13	-8	-21	0
-4	-1	0	2	1	-2
-3	-2	2	3	4	-1
-16	-3	-3	5	0	-9
2	3	4	6	7	-1
-2	0	1	2	3	-1
16	6	1	-2	-8	7
-3	2	0	1	2	-2
0	1	2	3	4	5
-17	-1	-4,5	2	8,3	-1
-2	-1	0	1	2	4
2,5	3	-4	-2	1	-1
-22	-23	30	17	-5	13
2	1,5	1	3	-1	4
-1	2	0,5	-3	4	-2
17	9	8	25	-12	32
2	0,5	1	-1	4	3
-3	-2	-1	2	1	-0,5
